airline,name,shortName,callSign,country,airlineUrl,phone
ABP|ABS Jets|ABS Jets|Bair|Czech Republic|http://www.absjets.cz/|
ABQ|Airblue|Airblue|Pakblue|Pakistan||
ABR|Air Contractors|Air Contractors|Contract|||
ABS|Afrijet Business Services|Afrijet||Gabon||
ABT|Air Taxi Benin|Air Taxi Benin|Benways|Benin||
ABU|Aerovias Bueno Ltda.|Aerovias Bueno|Aerobueno|||
ABW|AIRBRIDGE CARGO AIRLINES LTD|AirBridgeCargo|AIRBRIDGE CARGO|Russian Federation||
ABX|ABX Air||Abex|United States|http://www.abxair.com/|
ABY|Air Arabia||ARABIA|United Arab Emirates|http://www.airarabia.com/|
ACA|Air Canada|Air Canada|Air Canada|Canada|http://www.aircanada.com/|+1-888-247-2262
ACB|African Cargo Services Limited|African Cargo Services Limited|Africargo|||
ACC|Aerocharter Midlands Ltd.|Aerocharter Midlands|Aerocharter|||
ACD|Academy Airlines|Academy Airlines|Academy|||
ACE|Aviation ACES|Aviation ACES|Sky Ace|United States||
ACG|Air London International Plc|Air London International Plc|Air London|||
ACI|Air Caledonie International|Air Caledonie International|Aircalin|||
ACJ|Avicon Limited|Avicon|Avicharters|||
ACK|Nantucket Airlines|Nantucket|Ack Air|||
ACL|Aercaribe S.A.|AerCaribe|Admire|Colombia||
ACM|Air Caledonia Inc.|Air Caledonia|West Cal|Canada||
ACN|Aerolineas Centroamericanas, S.A.|Aerolineas Centroamericanas|Aerocentro|||
ACO|Air Choice One|Air Choice One|Weber|United States|http://www.airchoiceone.com/|866-435-9847
ACP|Astral Aviation|Astral Aviation|Astral Cargo|Kenya|http://www.astral-aviation.com/|
ACQ|Aero Continente S.A.|Aero Continente S.A.|Aero Continente|||
ACR|Asa, Air Starline AG|Asa, Air Starline AG|Aircruise|||
ACT|Flight Line, Inc.|Flight Line|American Check|||
ACU|Aerocancun|Aerocancun|Aerocancun|||
ACW|Raf Air Cadet Schools|Raf Air Cadet Schools|Air Cadet|||
ACX|Air Charters, Inc.|Air Charters|Parair|Canada||
ACY|Old ASA (Atlantic Southeast) / Candler|||||
ADA|Airservices Australia, Flight Inspection Unit|Airservices Australia, Flight Inspection Unit|Auscal|||
ADB|Antonov Design Bureau|Antonov Design Bureau|ANTONOV BUREAU|Ukraine||
ADC|Air Atlantic Dominicana|Air Atlantic Dominicana|Atlan-Dominican|||
ADF|Ade, Aviacion Deportiva S.l.|Ade, Aviacion Deportiva S.l.|Ade Aviacion|||
ADG|Aviones Y Servicios Del Golfo, S.A. de C.V.|Aviones Y Servicios Del Golfo de C.V.|Del Golfo|||
ADI|Audeli Air Express|Audeli Air Express|Audeli|||
ADJ|Batumi|Batumi|Adjal|||
ADL|Aero Dynamics Ltd.|Aero Dynamics Ltd.|Cotswold|United Kingdom||
ADM|Aerolineas Dominicanas S.A.|Aerolineas Dominicanas S.A.|Dominair|||
ADN|Aerodienst GMBH, Nurnburg|Aerodienst GMBH, Nurnburg|Aerodienst|Germany||
ADO|Hokkaido International Airlines|Hokkaido International Airlines|Air Do|||
ADP|Aerodiplomatic, S.A. de C.V.|Aerodiplomatic de C.V.|Aerodiplomatic|||
ADQ|Avion Taxi (2695731 Canada Inc.)|Avion Taxi|Air Data|Canada||
ADR|Adria Airways|Adria|Adria|||
ADS|Aviones de Sonora, S.A.|Aviones de Sonora|Sonorav|||
ADT|Air Dorval Ltee.|Air Dorval|Air Dorval|Canada||
ADU|Airdeal Oy, Finland|Airdeal Oy, Finland|Airdeal|||
ADV|Advance Air Charters|Advance Air Charters|Advance|Canada||
ADX|Anderson Aviation, Inc.|Anderson Aviation|Andax|United States||
ADY|New Zealand International Commercial Pilot Academy|International Commercial Pilot Academy|Academy|New Zealand||
ADZ|Aviosarda|Aviosarda|Aviosarda|||
AEA|Air Europa|Air Europa|Europa|Spain|http://www.air-europa.com/en/default.html|+1-800-238-7672
AEB|Arctic|Arctic|Air Arctic|||
AEC|Aerocesar, Aerovias Del Cesar|Aerocesar, Aerovias Del Cesar|Aerocesar|||
AED|Aernord|Aernord|Aernspa|||
AEE|Aegean Airlines|Aegean Airlines|Aegean|Greece|https://en.aegeanair.com/|
AEF|Aero Lloyd Flugreisen GMBH Und Co.|Aero Lloyd Flugreisen GMBH Und Co.|Aero Lloyd|Germany||
AEG|Airest|Airest|Airest Cargo|||
AEH|Aero 4M|Aero 4M|Aerocutter|Slovenia|http://www.aero4m.com/|+386 59 032 920
AEI|Aeroexpreso Interamericano|Aeroexpreso Interamericano|Interam|||
AEJ|Air Express Limited|Air Express Limited||||
AEK|Aero Costa Rica|Aero Costa Rica|Acorisa|||
AEM|Aero Madrid|Aero Madrid|Aeromadrid|||
AEO|Aeroservicios Ejecutivos Del Occidente, S.A. de C.V.|Aeroservicios Ejecutivos Del Occidente de C.V.|Aero Occidente|||
AEP|Aerotec|Aerotec|Aerotec|||
AER|Alaska Central Express, Inc.|Alaska Central Express|Ace Air|United States|http://www.aceaircargo.com/|+1-800-237-2747
AES|Aerolineas Centrales de Colombia|Aerolineas Centrales de Colombia|Aces|||
AET|Aero-Palma, S.A.|Aero-Palma|Aero Palma|||
AEU|Atlantis Armenian Airlines|Atlantis Armenian Airlines|Atlantis|Armenia||
AEV|Aeroventas, S.A.|Aeroventas|Aeroventas|||
AEX|Airway Express, Inc.|Airway Express|Avco|||
AEZ|Aerial Transit Company|Aerial Transit Company|Aerial Tranz|||
AFA|Alfa Air|Alfa Air|Blue Alfa|||
AFB|American Falcon|American Falcon||Argentina||
AFC|African West Air|African West Air|African West|||
AFD|Airfutures Limited|Unity Air||Ghana||
AFE|Airfast Service Indonesia PT|Airfast Service Indonesia PT|Airfast|Indonesia||
AFF|Caf|Caf|Aerocaf|||
AFG|Ariana Afghan Airlines|Ariana Afghan|Ariana|||
AFH|Air Fecteau Ltee.|Air Fecteau Ltee.|Fecto|Canada||
AFI|Aero Filipinas, Inc.|Aero Filipinas|Aerofil|||
AFJ|Alliance|Alliance|Jambo|||
AFK|Africa Air Links|Africa Air Links|Africa Links|||
AFL|Aeroflot - Russian International Airlines|Aeroflot|Aeroflot|Russian Federation|http://www.aeroflot.ru/|+1-888-340-6400
AFM|Affretair|Affretair|Afro|||
AFO|Aero Empresa Mexicana, S.A.|Aero Empresa Mexicana|Aero Empresa|||
AFQ|Alba Servicio Aerotrasporti|Alba Servicio Aerotrasporti|Alba|||
AFR|Air France|Air France|Airfrance|France|http://www.airfrance.fr/|+1-800-992-3932
AFU|Afrinat International Airlines|Afrinat International Airlines||Ghana||
AFV|Air Afrique Vacances|Air Afrique Vacances|Afrique Vacance|||
AFW|Africa World Airlines Limited|Africa World Airlines|Blackstar|Ghana||
AFX|Airfreight Express Limited|Airfreight Express Limited||United Kingdom||
AFY|Africa Chartered Services|Africa Chartered Services|Africa Chartered|||
AFZ|Africa Freight Services|Africa Freight Services|Afreight|||
AGC|Arab Agricultural Aviation Company|Arab Agricultural Aviation Company|Agrico|||
AGD|Agderfly A/s|Agderfly|Agderfly|||
AGE|Servicios Aereos de Los Angeles, S.A. de C.V.|Servicios Aereos de Los Angeles de C.V.|Aeroangel|||
AGF|Atlantic Gulf Airlines, Inc.|Atlantic Gulf Airlines|Atlantic Gulf|||
AGG|Algoma Airways Inc.|Algoma|Algoma|Canada||
AGI|Agrar-Aviacion, S.A.|Agrar-Aviacion|Agrar Aviacion|||
AGJ|Air Greece SA|Air Greece SA|Air Greece|||
AGK|Aeroleasing Ukraine|Aeroleasing Ukraine|Aerolease Ukraine|||
AGM|Aviation West Charters|Aviation West Charters|ANGELMED|||
AGN|Compagnie Nationale Air Gabon|Compagnie Nationale Air Gabon|Golf November|Gabon||
AGO|AAC-Angola Air Charter Limited|AAC-Angola Air Charter Limited|Angola Charter|||
AGP|Gpa Group Plc.|Gpa Group Plc.|Air Tara|||
AGR|Dept. Of Agriculture|Dept. Of Agriculture|Agriculture|||
AGS|Air Gambia|Air Gambia|Atas|||
AGT|Amadeus Global Travel Distribution S.A.|Amadeus Global Travel Distribution S.A.|Amadeus|||
AGU|JSC Angara Airlines|Angara Airlines|SARMA|Russian Federation||
AGV|Air Glaciers SA|Air Glaciers SA|Air Glaciers|Switzerland||
AGW|Avia Airlines|Avia|Avian|||
AGX|Aviogenex|Aviogenex|Genex|||
AGY|Aero Flight Service, Inc|Aero Flight Service|Flight Group|||
AGZ|Agrolet-MCI Ltd|Agrolet-MCI Ltd|Agrolet|||
AHA|Air Alpha A/s|Air Alpha A/s|Air Alpha|||
AHC|Azalaviacargo|Azalaviacargo|Azalaviacargo|||
AHD|Czech Air Handling|Czech Air Handling|Airhandling|||
AHE|Airport Helicopter Basel, Muller & Co.|Airport Helicopter Basel, Muller & Co.|Airport Helicopter|||
AHF|Aspen Helicopters, Inc.|Aspen Helicopters|Aspen|||
AHG|Aerochago|Aerochago|Aerochago|||
AHH|Airplanes Holdings Ltd|Airplanes Holdings|Airhold|||
AHI|Servicios Aereos de Chihuahua Aerochisa, S.A. de C.V.|Servicios Aereos de Chihuahua Aerochisa de C.V.|Aerochisa|||
AHK|Ahk Air Hong Kong Limited|Air Hong Kong|Air Hong Kong|China||
AHL|Air Hanson Ltd.|Air Hanson|Air Hanson|||
AHM|Garrison Aviation Ltd.|Garrison Aviation Ltd.|Air Huron|Canada||
AHN|Air Hungaria Ltd|Air Hungaria|Air Hungaria|||
AHO|Air Hamburg|Air Hamburg|AIR HAMBURG|Germany|http://www.airhamburg.de/|
AHP|Aerochiapas, S.A. de C.V.|Aerochiapas de C.V.|Aerochiapas|||
AHT|Hta Helicopteros, Lda|Hta Helicopteros, Lda|Heliapra|||
AHU|Abc Air Hungary Ltd|Abc Air Hungary Ltd|Abc Hungary|Hungary||
AHW|Sky Capital Airlines Ltd.|Sky Capital Airlines|Bangladesh|Bangladesh||
AHX|Amakusa Airlines Co., Ltd|Amakusa Airlines|Amakusa Air|Japan||
AHY|Azalavia-Azerbaijan Hava Yollari|Azerbaijan Airlines|Azal|||
AIB|Airbus Industrie|Airbus Industrie|Airbus Industrie|France||
AIC|Air India|Air India|Airindia|India|http://www.airindia.com/|+1-800-223-7776
AID|Alti|Alti|Altit|||
AIE|Air Inuit Ltd.|Air Inuit|Air Inuit|Canada||
AIH|Air Incheon Co, Ltd|Air Incheon|Air Incheon|South Korea||
AII|Air Integra Inc.|Air Integra|Integra|Canada||
AIJ|Interjet||INTERJET|Mexico|http://www.interjet.com/|+1-866-285-8307
AIK|African Airlines International Limited|African Airlines International Limited|African Airlines|||
AIL|Air Illinois, Inc.|Air Illinois|Air Illinois|||
AIM|Ambulancias Insulares S.A.|Ambulancias Insulares S.A.|Ambul-Insu|||
AIN|African International Airways|African International Airways|Fly Cargo|||
AIO|Chief Of Staff, USAF|Chief Of Staff, USAF|Air Chief|||
AIP|Alpine Aviation, Inc.|Alpine Aviation|Alpine Air|||
AIQ|THAI AIR ASIA CO., LTD|Thai AirAsia|THAI ASIA|Thailand|http://www.airasia.com/|
AIR|Airlift International Inc.|Airlift|Airlift|||
AIU|Alicante Internacional Airlines S.l.|Alicante Internacional Airlines S.l.|Alia|||
AIV|Airvias S/a Linhas Aereas|Airvias S/a Linhas Aereas|Airvias|||
AIW|Atlantic Island Airways|Atlantic Island Airways|Tartan|Canada||
AIX|Aircruising Australia|Aircruising Australia|Cruiser|||
AIZ|Arkia Israel Inland Airlines|Arkia Israel Inland Airlines|Arkia|Israel|http://www.arkia.com/|
AJA|A J Services Limited|A J Services Limited|Ayjay Services|||
AJC|Bar Harbor Airlines|Bar Harbor|Bar Harbor|United States||
AJE|Alfa Jet|Alfa Jet|Alfa Jet|||
AJI|Ameristar Jet Charter, Inc.|Ameristar Jet Charter|Ameristar|United States|http://www.ameristarjet.com/|
AJJ|Atlantic Jet Charter, LLC D/B/A Atlantic Jet|Atlantic Jet Charter, LLC D/B/A Atlantic Jet|Atlantic Jet|||
AJK|Allied Air Limited|Allied Air|Bambi|Nigeria|http://www.alliedairng.com/|
AJL|Aero Jalisco, S.A. de C.V.|Aero Jalisco de C.V.|Aerojalisco|||
AJO|Aero Ejecutivo, S.A. de C.V.|Aero Ejecutivo de C.V.|Aeroexo|||
AJP|Anap Business Jets Limited|Anap Jets|Anapjets|Nigeria||
AJS|Aeroejecutivos, Aeroservicios Ejecutivos|Aeroejecutivos, Aeroservicios Ejecutivos|Aeroejecutivos|||
AJT|Amerijet International|Amerijet International|Amerijet|United States|https://www.amerijet.com|+1-800-927-6059
AJU|AIRJETSUL|AIRJETSUL|Airjetsul|Portugal||
AJW|Alpha Jet International|Alpha Jet|Alphajet|||
AJX|Air Japan||AIR JAPAN|Japan|http://www.air-japan.co.jp/eng/|
AKB|Aktjubavia|Aktjubavia|Karab|||
AKC|Arca Aerovias Colombianas Ltda.|Arca Aerovias Colombianas Ltda.|Arca|||
AKH|Akhal|Akhal|Akhal|||
AKK|Aklak Air Ltd.|Aklak Air|Aklak|Canada|http://www.aklakair.ca/|
AKL|Air Kiribati Limited|Air Kiribati|Air Kiribati|Kiribati||
AKM|Acme|Acme|Acme Aereo|||
AKN|Alkan Air Ltd.|Alkan Air|Alkan Air|Canada||
AKR|Arctic Air|Arctic Air||Norway||
AKT|Aircompany Karat|Aircompany Karat|Aviakarat|||
AKU|Acsunkar|Acsunkar|Acsunkar|||
AKX|ANA Wings|ANA Wings|Alpha Wing|Japan||
AKY|Yak-Service|Yak-Service|Yak-Service|||
AKZ|Aerokuznetsk, Joint Stock Company|Aerokuznetsk, Joint Stock Company|Aerokuznetsk|||
ALB|Aero Albatros|Aero Albatros|Albatros|||
ALC|Southern Jersey Airways, Inc.|Southern Jersey Airways|Acom|||
ALD|Air Leisure|Air Leisure||Egypt||
ALE|Aerolineas Especiales de Colombia|Aerolineas Especiales de Colombia|Aeroalas|||
ALF|Allied Command Europe|Allied Command Europe|Aceforce|||
ALG|Air Logistics|Air Logistics|Airlog|||
ALH|Alpha Air|Alpha Air|Alpha Air|||
ALI|Air Liberia|Air Liberia|November Lima|||
ALK|SriLankan Airlines||SRILANKAN|Sri Lanka|http://www.srilankan.lk/|+1-877-915-2652
ALL|Aliserio|Aliserio|Aliserio|||
ALM|Antilliaanse Luchtvaart Maatschappij|Antilliaanse Luchtvaart Maatschappij|Antillean|||
ALN|Air Lincoln, Inc.|Air Lincoln|Chicago Lincoln|||
ALO|Pennsylvania Commuter Airlines, Inc.|Pennsylvania Commuter Airlines|Allegheny|||
ALP|Alpliner AG|Alpliner AG|Alpliner|||
ALQ|Altair Aviation (1968) Ltd|Altair Aviation|Altair|Canada||
ALR|Algarvilara, Transportes Aereos Algarvios, S.A.|Algarvilara, Transportes Aereos Algarvios|Algarvilara|||
ALT|SBS Air Craft|SBS Air Craft|Green-Craft|||
ALU|Alpine Luft-Transport AG|Alpine Luft-Transport AG|Alag|||
ALV|Alas de Venezuela|Alas de Venezuela|Alven|Venezuela||
ALW|Alas Nacionales, S.A.|Alas Nacionales|Alnacional|||
ALX|Congo Airlines Sprl|Congo  Sprl|Allcongo|||
ALY|Alyeska Air Service|Alyeska Air Service|Alyeska|||
ALZ|Alta Flights (Charters) Ltd|Alta Flights (Charters)||Canada||
AMB|Deutsche Rettungsflugwacht E. V|Deutsche Rettungsflugwacht E. V|Civil Air Ambulance|Germany||
AMC|Air Malta Plc.|Air Malta|Air Malta||http://www.airmalta.com/|+1-800-756-2582
AMD|Aerolineas Medellin|Aerolineas Medellin|Aerolineas Medellin|||
AME|Aeronave Militar Espanola. Ministerio de Defensa|Aeronave Militar Espanola. Ministerio de Defensa|Airmil|Spain||
AMF|Ameriflight, Inc.|Ameriflight|Amflight|United States||
AMG|Air Material AG|Air Material AG|Amag|||
AMH|Alan Mann Helicopters Ltd.|Alan Mann Helicopters|Mann|||
AMI|Air Maldives|Air Maldives|Air Maldives|||
AMJ|Aviation Amos M. Et J. Inc.|Amjet Executive|Amjet Exec|Greece|http://www.amjetexecutive.com/en/|
AMK|Amerer Air|Amerer Air|Amer Air|||
AML|Air Malawi|Air Malawi|Malawi|||
AMN|Air Montenegro|Air Montenegro|Montenegro|||
AMO|Air Montreal Inc.|Air Montreal|Air Montreal|Canada||
AMP|Aero Transporte S.A.|Aero Transporte S.A.|Atsa|Peru||
AMQ|Aeromedicare Ltd|Aeromedicare Ltd|Lifeline|||
AMR|Air Specialties Corporation D/B/A Air America/total Air (Los Angeles)|Air Specialties Corporation D/B/A Air America/total Air|Air Am|||
AMS|Amrica do Sul Txi Areo Ltda|Amrica do Sul Txi Areo||Brazil||
AMT|American Trans Air, Inc.|American Trans Air|Amtran|United States|http://www.ata.com/|+1-800-435-9282
AMU|Air Macau|Air Macau|Air Macau|||
AMV|Aircraft Maintenance Company|AMC Airlines|AMC Airlines|Egypt||
AMW|Armenia Airways Air Company CJSC|Armenia Airways||Armenia||
AMX|Aerovias de Mexico, S.A. de C.V.|AeroMxico|Aeromexico|Mexico|http://aeromexico.com/|+1-800-237-6639
AMY|Air Mandalay Ltd|Air Mandalay|AIR MANDALAY|Myanmar|http://www.airmandalay.com/|
AMZ|Air Meuse - Dat Wallonie|Air Meuse - Dat Wallonie|Air Meuse|||
ANA|All Nippon Airways Co., Ltd.|All Nippon|All Nippon|Japan|http://www.ana.co.jp/|+1-800-235-9262
ANB|Air Navigation And Trading Co. Ltd.|Air Navigation And Trading Co. Ltd.|Air Nav|||
ANC|Anglo Cargo Ltd.|Anglo Cargo|Anglo|||
AND|National Jet Service, Inc.|National Jet Service|Air Indiana|||
ANE|Americana de Aviacion, S.A.|Air Nostrum|NOSTRU AIR|Spain|http://www.airnostrum.com/home.asp?idioma=2|
ANG|Air Niugini|Air Niugini|Niugini|||
ANH|Antares Air, Joint-Stock Company|Antares Air, Joint-Stock Company|Antavia|||
ANI|Air Atlantic|Air Atlantic|Nigalantic|||
ANJ|Aero-Alentejo, Servicos Aereos, Lda.|Aero-Alentejo, Servicos Aereos, Lda.|Aero Alentejo|||
ANL|Nacoia Lda|Nacoia Lda|Air Nacoia|||
ANO|Airnorth Regional|Airnorth Regional||Australia||
ANP|Antonair International|Antonair International|Antonair|||
ANR|Yanair|Yanair|YANAIR|Ukraine|http://yanair.com.ua/|
ANS|Andes Lneas Areas, S.A.|Andes Lneas Areas|Aeroandes|Argentina|http://www.andesonline.com/|
ANT|Air North Charter|Air North Charter|Air North|Canada|http://www.flyairnorth.com/|+1-800-764-0407
ANU|Avionair Inc.|Avionair|Avionair|||
ANV|Air Nevada Airlines, Inc.|Air Nevada|Air Nevada|||
ANW|Aviacion Del Noroeste, S.A. de C.V.|Aviacion Del Noroeste de C.V.|Avinor|||
ANX|Airnorterra, Inc|Airnorterra|Norterra|||
ANZ|Air New Zealand Ltd.|Air New Zealand|New Zealand|New Zealand|http://www.airnewzealand.com/|+1-800-262-1234
AOB|Aerolion International S.r.l.|Aerolion International|Interlion|||
AOC|TitanFly International|TitanFly International|Aramis|San Marino||
AOD|Aero Vodochody|Aero Vodochody|Aero Czech|||
AOE|Aerososel|Aerososel|Sosel|||
AOF|Atair Pty Ltd|Atair Pty Ltd|Atair|||
AOH|North Coast Aviation, Inc.|North Coast Aviation|Air Ohio|||
AOI|Astoria Inc.|Astoria|Astoria|Canada||
AOJ|Aero-Jet S.A.|Aero-Jet|Swissjet|||
AOL|Angkor Airlines|Angkor Airlines|Angkor Air|||
AOM|Aom-Minerve S.A.|Aom-Minerve S.A.|French Lines|||
AON|Aero Entreprise|Aero Entreprise|Aero Entreprise|||
AOO|As, Opened Joint Stock Company|As, Opened Joint Stock Company|Company As|||
AOP|Aeropiloto - Sociedade Exploradora de Servicos Aereos, Lda.|Aeropiloto - Sociedade Exploradora de Servicos Aereos, Lda.|Aeropiloto|||
AOR|Afro International Ent. Limited|Afro International|Inter-Afro|||
AOS|Servicios Aereos Del Sol, S.A. de C.V.|Servicios Aereos Del Sol de C.V.|Aerosol|||
AOT|Deutsche Forschungs-und Versuchsanstalt Fur Luft-und Raumfahrt E.V., Koln|Deutsche Forschungs-und Versuchsanstalt Fur Luft-und Raumfahrt E.V., Koln|Astronaut|||
AOV|Aero Vision|Aero Vision|Aerovision|||
AOX|Aerotaxi Del Valle|Aerotaxi Del Valle|Aerovalle|||
APA|Air Park Aviation Ltd.|Air Park Aviation|Can-am|Canada||
APB|Air Atlantique Air Publicite|Air Atlantique Air Publicite|Charente|||
APC|Airpac|Airpac||United States||
APE|Parcel Express|Parcel Express|Air Parcel|||
APF|Amapola Flyg AB|Amapola Flyg|Amapola|Sweden||
APG|Philippines AirAsia, Inc.|Philippines AirAsia|COOL RED|Philippines|http://www.airasia.com/us/en/home.page?cid=1|
APH|Alpha Aviation, Inc.|Alpha Aviation|Airflight|||
API|Asa Pesada, Lda.|Asa Pesada|Asa Pesada|||
APJ|Peach Aviation Limited|Peach Aviation|Air Peach|Japan||
APK|Air Peace||Peace Bird|Nigeria||
APL|Appalachian Flying Service, Inc.|Appalachian Flying Service|Appalachian|||
APM|Airpac, Inc.|Airpac|Alaska Pacific|||
APN|Aerovia Del Altiplano, S.A. de C.V.|Aerovia Del Altiplano de C.V.|Aeroantiplano|||
APO|Aeropro|Aeropro|Aeropro|Canada||
APP|Aerolineas Pacifico Atlantico, S.A.|Aerolineas Pacifico Atlantico|Aeroperlas|||
APQ|Aspen Base Operations, Inc D/B/A Aspen Aviation, Inc|Aspen Base Operations, Inc D/B/A Aspen Aviation, Inc|Aspen Base|||
APR|Societe Nouvelle D'exploitation Air Provence|Societe Nouvelle D'exploitation Air Provence|Air Provence|||
APS|Aerotransporte Peruanos Internacionales S.A.|Aerotransporte Peruanos Internacionales|Apisa|||
APU|Aeropuma S.A.|Aeropuma|Aeropuma|||
APV|Air Plan International|Air Plan International|Air Plan|||
APX|Apex Air Cargo|Apex Air Cargo|Parcel Express|||
APY|Apa Internacional|Apa Internacional|Apa Internacional|||
AQA|Aeroatlas S.A.|Aeroatlas|Atco|||
AQC|Alquiladora de Casas, S.A. de C.V.|Alquiladora de Casas de C.V.|Alquiladora|||
AQL|Aquila Air Ltd.|Aquila Air|Aquila|Canada||
AQN|Air Queensland|Air Queensland|Bushair|||
AQO|Aluminum Company Of America, Alcoa Aircraft Operations|Aluminum Company Of America|Alcoa Shuttle|||
AQT|Aviones de Renta de Quintana Roo, S.A. de C.V.|Aviones de Renta de Quintana Roo de C.V.|Avioquintana|||
AQZ|Aerodyne Charter Company|Aerodyne Charter Company|Quanza|||
ARA|Arik Niger SA|Arik Air|Aerobeira|Nigeria||
ARB|Airbahn|Airbahn|Airbahn|United States||
ARC|Air Routing International|||||
ARCAT|General Atomics Reconnaissance Systems|General Atomics Reconnaissance Systems|Aircat|United States||
ARD|Ata-Aerocondor Transportes Aereos Lda.|Ata-Aerocondor|Aerocondor|||
ARE|LAN Colombia Airlines|LAN Colombia|LAN Colombia|Colombia|http://www.lan.com/|+1-866-435-9526
ARF|Animal Rescue Flights||ANIMAL RESCUE FLIGHT|United States||
ARG|Aerolineas Argentinas|Aerolineas Argentinas|Argentina|Argentina|http://www.aerolineas.com.ar/|+1-800-333-0276
ARH|Arrowhead Airways|Arrowhead|Arrowhead|||
ARI|Aero Vics, S.A. de C.V.|Aero Vics de C.V.|Aerovics|||
ARK|Ararat Avia|Ararat Avia|Ararat Avia|||
ARL|Airlec|Airlec|Airlec|||
ARM|Aeromarket Express|Aeromarket Express|Amex|||
ARN|Aeronexus Corporate (Pty) Ltd||AERONEX|||
ARO|Arrow Aviation Ltd.|Arrow Aviation|Arrow|Canada||
ARP|Societe D'exploitation Aeropostale|Societe D'exploitation Aeropostale|Aeroposte|||
ARQ|Armstrong Air Inc.|Armstrong Air|Armstrong|||
ARS|Air Sardinia International|Air Sardinia International|Jetrider|||
ART|Smart Lynx Airlines Ltd|Smart Lynx|Smart Lynx|Latvia|https://www.smartlynx.aero/|+371 67207392
ARU|Aruba Airlines||Aruba|Aruba||
ARV|Aravco Ltd.|Aravco|Aravco|||
ARX|Air Xpress, Inc,|Air Xpress|Airex|||
ARY|Argosy Airways|Argosy|Gosey|||
ASA|Alaska Airlines Inc.|Alaska Airlines|Alaska|United States|http://www.alaskaair.com/|+1-800-252-7522
ASB|Air-spray 1967 Ltd.|Air-spray|Air Spray|Canada||
ASC|Air Star Corporation|Air Star|Air Star|Canada||
ASD|Air Sinai|Air Sinai|Air Sinai|Egypt||
ASE|Airstars|Airstars||Russian Federation||
ASF|Air Schefferville Inc.|Air Schefferville|Scheff|Canada||
ASG|African Star Airways|African Star||South Africa||
ASH|Mesa Airlines|Mesa|Air Shuttle|United States|http://www.mesa-air.com/|+1-800-637-2247
ASI|Aerosun International, Inc.|Aerosun International|Aerosun|||
ASJ|Air Satellite Inc.|AstonJet|Astonjet|France|http://www.astonjet.com/|
